1,62,1,2023-04-21
9,40,4,2023-02-10
10,63,7,2023-03-16
2,20,1,2023-02-17
6,97,10,2023-05-17
10,63,9,2023-04-21
4,45,4,2023-02-26
2,20,9,2023-01-13
2,20,9,2023-01-11
2,20,10,2023-01-19
10,63,4,2022-12-31
8,87,2,2023-05-07
5,28,8,2023-05-07
2,20,9,2022-12-08
9,40,8,2023-03-20
8,87,1,2022-12-15
5,28,6,2023-04-07
1,62,5,2023-04-27
5,28,5,2023-05-01
9,40,2,2023-03-30
3,26,7,2023-03-08
8,87,7,2023-04-15
9,40,6,2023-01-07
8,87,8,2023-03-03
3,26,10,2023-03-04
6,97,10,2023-01-24
2,20,4,2023-02-24
4,45,7,2022-12-22
4,45,6,2023-04-09
9,40,2,2023-04-04
9,40,6,2023-03-28
1,62,7,2023-02-18
4,45,7,2023-03-30
10,63,7,2023-02-16
6,97,8,2022-12-20
4,45,2,2023-01-31
1,62,6,2023-02-12
3,26,6,2023-03-10
1,62,1,2023-02-14
8,87,4,2023-02-09
3,26,10,2023-03-15
10,63,8,2023-01-11
2,20,9,2023-04-29
10,63,6,2022-12-27
5,28,3,2023-04-25
3,26,4,2023-05-09
2,20,6,2023-01-13
10,63,4,2022-12-18
3,26,5,2022-12-29
4,45,7,2023-01-26
9,40,9,2023-03-31
10,63,9,2023-01-02
3,26,5,2022-12-29
2,20,4,2022-12-19
1,62,9,2023-05-19
2,20,1,2023-02-05
6,97,1,2023-03-30
5,28,7,2023-04-12
9,40,9,2023-01-25
9,40,10,2023-03-06
10,63,2,2023-03-16
1,62,8,2023-03-28
5,28,10,2023-02-15
6,97,8,2022-12-19
3,26,3,2023-01-03
4,45,3,2022-12-19
10,63,4,2023-03-02
1,62,2,2023-03-29
4,45,3,2022-12-21
3,26,7,2023-02-25
1,62,1,2023-02-13
8,87,9,2023-04-10
2,20,6,2023-05-13
8,87,5,2023-03-28
6,97,7,2023-03-20
4,45,8,2023-01-02
4,45,4,2023-01-09
2,20,4,2023-03-12
2,20,2,2022-12-08
4,45,1,2023-04-16
5,28,8,2022-12-31
4,45,1,2023-03-04
6,97,1,2023-05-01
8,87,9,2022-12-09
8,87,9,2023-03-03
6,97,4,2023-02-01
6,97,5,2023-05-08
3,26,6,2022-12-02
8,87,5,2023-02-05
8,87,6,2023-03-21
8,87,8,2023-04-27
5,28,1,2023-01-16
1,62,4,2023-05-01
6,97,6,2023-03-21
6,97,7,2023-05-11
5,28,10,2023-02-20
5,28,2,2023-03-29
7,22,1,2022-12-03
10,63,8,2023-02-04
7,22,8,2023-05-15
1,62,1,2023-01-31
9,40,9,2023-04-18
6,97,2,2023-03-24
6,97,9,2023-03-22
7,22,8,2022-12-11
6,97,4,2022-12-20
10,63,9,2023-02-08
6,97,7,2023-01-31
4,45,5,2023-03-15
8,87,1,2023-04-27
1,62,6,2023-02-16
2,20,3,2023-05-12
2,20,10,2023-03-14
3,26,4,2023-03-09
10,63,6,2023-04-17
2,20,2,2023-02-13
9,40,7,2023-05-20
2,20,9,2023-01-23
10,63,1,2023-05-11
8,87,2,2023-04-18
3,26,8,2023-04-29
3,26,10,2022-12-02
10,63,1,2022-12-23
10,63,4,2023-04-28
10,63,5,2023-03-20
7,22,1,2022-12-31
4,45,7,2023-02-25
2,20,3,2023-05-06
5,28,8,2022-12-31
10,63,6,2023-04-12
7,22,3,2023-05-09
10,63,1,2023-03-16
8,87,10,2023-03-11
10,63,6,2023-01-30
1,62,4,2023-04-20
10,63,7,2023-01-13
3,26,6,2023-02-11
6,97,1,2023-02-19
8,87,9,2023-04-05
3,26,5,2023-03-06
7,22,9,2023-01-20
7,22,5,2023-01-19
6,97,7,2023-03-15
5,28,10,2022-12-27
10,63,4,2023-02-24
6,97,3,2023-05-23
7,22,2,2023-01-09
2,20,1,2023-03-17
10,63,8,2023-02-02
2,20,5,2023-04-28
8,87,8,2023-01-07
3,26,3,2023-01-29
5,28,3,2023-04-06
2,20,3,2023-01-20
4,45,10,2023-01-02
1,62,5,2023-03-03
5,28,2,2023-01-22
7,22,7,2023-03-03
8,87,1,2023-03-16
3,26,5,2023-04-23
2,20,9,2023-04-16
2,20,2,2023-04-15
6,97,5,2023-04-10
6,97,8,2023-01-09
3,26,2,2023-02-21
1,62,4,2023-02-11
3,26,4,2023-05-02
4,45,8,2022-12-28
9,40,6,2023-04-28
8,87,6,2023-03-28
2,20,8,2023-04-04
4,45,9,2023-01-08
6,97,6,2023-04-19
6,97,5,2023-04-25
4,45,1,2023-02-18
1,62,2,2023-01-06
8,87,2,2023-01-02
6,97,1,2023-02-03
2,20,4,2023-03-12
9,40,7,2023-04-20
6,97,10,2023-04-13
6,97,6,2023-02-08
9,40,10,2023-03-09
8,87,8,2023-03-26
3,26,1,2023-01-22
7,22,7,2023-02-19
10,63,9,2023-03-04
5,28,2,2023-04-16
9,40,9,2023-03-22
9,40,1,2023-04-18
1,62,10,2023-03-04
9,40,8,2023-04-13
5,28,4,2023-02-01
2,20,2,2023-02-10
8,87,8,2023-03-30
8,87,10,2023-05-10
10,63,8,2023-01-11
10,63,5,2023-04-02
3,26,5,2022-12-28
10,63,2,2022-12-29
10,63,5,2023-03-06
10,63,1,2023-03-28
7,22,5,2023-01-09
5,28,1,2023-03-16
4,45,9,2023-02-18
7,22,3,2023-03-19
3,26,7,2022-12-18
6,97,10,2023-04-01
7,22,5,2023-03-02
5,28,5,2023-05-10
2,20,8,2023-01-29
5,28,9,2023-01-07
2,20,4,2023-02-08
8,87,9,2023-02-25
5,28,10,2022-12-13
1,62,7,2023-03-21
2,20,6,2023-01-02
8,87,8,2023-03-26
7,22,1,2023-05-19
2,20,8,2023-01-07
7,22,1,2023-05-22
3,26,6,2023-02-04
5,28,6,2023-01-23
7,22,6,2023-03-21
1,62,8,2023-02-04
2,20,1,2023-01-18
2,20,10,2023-04-25
8,87,3,2022-12-08
8,87,7,2022-12-31
7,22,7,2023-03-11
6,97,1,2023-02-25
5,28,10,2023-02-09
8,87,10,2023-01-13
3,26,9,2023-02-23
5,28,5,2023-01-17
8,87,8,2023-01-07
10,63,10,2023-01-11
6,97,6,2022-12-02
2,20,8,2023-01-22
9,40,2,2023-05-15
10,63,9,2023-02-10
4,45,10,2023-03-09
8,87,9,2023-04-24
7,22,7,2023-01-23
4,45,5,2023-04-26
3,26,1,2023-04-02
7,22,5,2023-05-20
3,26,10,2023-04-06
1,62,1,2022-12-23
9,40,5,2023-05-11
7,22,9,2023-03-20
8,87,4,2023-03-29
8,87,2,2023-04-14
9,40,3,2023-03-28
3,26,9,2023-05-06
2,20,6,2023-01-05
3,26,5,2022-12-20
9,40,2,2023-05-04
4,45,10,2023-05-18
9,40,9,2022-12-14
2,20,8,2023-02-22
6,97,4,2023-03-10
5,28,9,2023-04-24
5,28,3,2023-03-26
1,62,1,2023-04-04
9,40,3,2023-03-29
3,26,7,2023-03-28
2,20,2,2023-03-11
6,97,1,2023-05-13
5,28,6,2023-05-07
3,26,9,2023-02-01
3,26,7,2022-12-27
3,26,10,2023-03-13
1,62,10,2022-12-17
2,20,9,2022-12-30
8,87,1,2023-02-08
9,40,6,2023-02-14
1,62,2,2023-04-07
6,97,6,2023-04-27
6,97,6,2023-05-11
7,22,10,2022-12-17
6,97,6,2023-01-14
3,26,5,2023-01-16
8,87,9,2023-03-20
4,45,10,2023-01-10
3,26,7,2022-12-04
1,62,10,2023-04-03
1,62,3,2023-05-09
7,22,10,2022-12-07
4,45,9,2023-02-16
7,22,1,2022-12-24
2,20,10,2023-04-29
6,97,7,2023-01-22
10,63,2,2022-12-29
6,97,3,2023-05-11
4,45,4,2023-05-16
5,28,4,2023-02-19
5,28,10,2022-12-02
7,22,1,2022-12-03
10,63,7,2023-01-07
8,87,1,2023-02-27
7,22,9,2023-02-02
6,97,2,2023-01-01
1,62,1,2023-04-10
8,87,2,2023-03-27
3,26,8,2023-03-27
9,40,4,2023-03-05
2,20,1,2023-02-12
6,97,10,2023-05-16
1,62,8,2023-04-21
4,45,8,2023-05-10
2,20,8,2023-05-20
3,26,6,2023-03-20
8,87,8,2023-05-03
4,45,3,2023-04-20
2,20,4,2023-04-06
4,45,3,2023-02-14
5,28,1,2023-05-02
5,28,4,2023-01-09
4,45,4,2023-05-07
7,22,4,2023-02-20
4,45,1,2023-05-22
10,63,1,2023-02-25
8,87,2,2023-05-15
3,26,5,2022-12-11
9,40,9,2023-04-11
6,97,1,2023-02-10
3,26,4,2023-02-01
2,20,7,2023-04-03
10,63,10,2023-01-26
1,62,8,2023-04-13
4,45,5,2023-05-08
4,45,9,2023-04-01
2,20,9,2023-02-05
2,20,4,2023-03-14
1,62,1,2022-12-20
4,45,1,2023-02-09
7,22,3,2023-03-05
9,40,10,2023-03-22
5,28,4,2022-12-02
4,45,5,2023-03-17
5,28,3,2023-01-30
7,22,8,2023-04-12
5,28,5,2023-04-25
5,28,1,2023-02-13
7,22,6,2023-04-25
1,62,10,2022-12-27
1,62,7,2023-04-06
10,63,8,2023-03-01
2,20,8,2023-01-18
4,45,1,2022-12-03
5,28,4,2023-01-09
8,87,10,2023-02-22
8,87,1,2023-04-08
5,28,3,2023-02-21
3,26,5,2023-02-02
8,87,6,2022-12-03
7,22,6,2023-05-16
8,87,2,2022-12-05
1,62,3,2022-12-20
4,45,3,2023-03-14
2,20,1,2023-04-11
5,28,2,2023-04-09
6,97,6,2022-12-30
3,26,9,2023-05-08
6,97,1,2023-05-16
8,87,7,2023-05-12
2,20,9,2023-02-09
2,20,9,2023-01-08
5,28,4,2022-12-06
3,26,4,2023-02-11
3,26,7,2023-04-14
5,28,5,2022-12-28
2,20,4,2023-04-12
7,22,4,2022-12-29
10,63,2,2023-01-29
7,22,1,2023-01-03
4,45,4,2023-03-29
9,40,1,2023-01-03
2,20,8,2023-03-12
3,26,1,2023-01-05
1,62,9,2023-03-04
8,87,2,2023-05-03
8,87,5,2023-02-15
5,28,10,2022-12-08
6,97,3,2023-03-24
3,26,10,2022-12-08
8,87,3,2023-02-19
8,87,3,2022-12-08
6,97,3,2022-12-10
7,22,6,2022-12-23
10,63,6,2023-05-11
9,40,1,2023-03-23
9,40,10,2022-12-16
4,45,9,2023-04-13
7,22,10,2023-05-19
9,40,10,2023-01-30
7,22,1,2023-02-13
1,62,10,2023-04-28
9,40,6,2023-04-07
8,87,9,2022-12-01
3,26,10,2023-04-05
5,28,9,2022-12-10
7,22,7,2023-05-03
9,40,9,2023-02-03
6,97,4,2023-03-24
5,28,2,2023-01-15
1,62,10,2023-01-09
9,40,5,2023-04-02
6,97,9,2023-03-16
10,63,9,2022-12-24
5,28,6,2023-04-19
1,62,3,2023-02-26
7,22,9,2022-12-28
3,26,2,2023-01-29
2,20,10,2023-01-25
1,62,9,2023-02-17
9,40,5,2023-01-25
1,62,9,2023-02-09
2,20,7,2022-12-27
2,20,10,2023-04-06
1,62,2,2023-04-18
3,26,3,2023-02-24
4,45,7,2023-03-13
8,87,4,2023-02-25
8,87,1,2023-02-20
1,62,6,2023-03-07
4,45,5,2023-04-12
1,62,1,2023-02-01
1,62,5,2022-12-05
9,40,5,2023-02-10
3,26,9,2023-03-08
1,62,5,2022-12-17
1,62,1,2023-05-19
4,45,9,2023-01-06
8,87,4,2023-04-23
5,28,3,2023-04-05
9,40,3,2022-12-29
9,40,1,2023-05-11
2,20,8,2023-01-20
6,97,5,2023-01-03
8,87,9,2023-03-27
7,22,3,2022-12-06
6,97,4,2022-12-11
8,87,6,2023-04-11
9,40,2,2022-12-08
2,20,4,2023-01-28
7,22,6,2023-05-08
9,40,6,2023-05-13
10,63,7,2022-12-09
10,63,2,2023-04-18
10,63,1,2023-01-19
1,62,1,2023-03-27
6,97,4,2023-02-05
5,28,10,2023-01-15
4,45,1,2023-04-16
5,28,5,2023-04-28
3,26,5,2023-01-15
8,87,1,2023-05-11
6,97,7,2023-03-28
6,97,8,2022-12-13
7,22,10,2023-03-30
4,45,4,2023-02-06
10,63,5,2023-01-28
